filename,total_lines,header_row,data_start_row,blank_after_header,n_columns,column_names,row_after_header,first_data_row,last_data_row
nifty50_aug14.csv,72,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital | Free Float Market Capitalisation | Weightage | Beta | R2 | Volatility | Monthly Return | Avg. Impact Cost, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %, |  |  |  | (In Rs.) | (Rs. Crores) | % |  |  | % |  | %,* Impact Cost for CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug15.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1881915760 | 12485.92 | 0.44 | 0.94 | 0.35 | 1.47 | -3.79 | 0.07,1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1881915760 | 12485.92 | 0.44 | 0.94 | 0.35 | 1.47 | -3.79 | 0.07,* Impact Cost for CNX Nifty is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug16.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 16053.93 | 0.50 | 0.77 | 0.31 | 1.56 | 1.25 | 0.03,1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 16053.93 | 0.50 | 0.77 | 0.31 | 1.56 | 1.25 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug17.csv,71,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 15212.87 | 0.41 | 1.18 | 0.30 | 1.18 | 3.87 | 0.03,1 | ACC | ACC Ltd. | CEMENT AND CEMENT PRODUCTS | 1877871730 | 15212.87 | 0.41 | 1.18 | 0.30 | 1.18 | 3.87 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug18.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 26978.50 | 0.58 | 1.33 | 0.26 | 1.66 | -4.15 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 26978.50 | 0.58 | 1.33 | 0.26 | 1.66 | -4.15 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug19.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 28779.19 | 0.64 | 1.37 | 0.29 | 1.92 | -3.14 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4141903522 | 28779.19 | 0.64 | 1.37 | 0.29 | 1.92 | -3.14 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug20.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4063503522 | 26743.44 | 0.55 | 0.91 | 0.46 | 1.53 | 12.86 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | SHIPPING | 4063503522 | 26743.44 | 0.55 | 0.91 | 0.46 | 1.53 | 12.86 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug21.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4083503522 | 55002.34 | 0.74 | 1.21 | 0.22 | 1.90 | 10.94 | 0.03,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4083503522 | 55002.34 | 0.74 | 1.21 | 0.22 | 1.90 | 10.94 | 0.03,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug22.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 60483.79 | 0.78 | 1.39 | 0.51 | 2.17 | 10.27 | 0.02,1 | ADANIPORTS | Adani Ports and Special Economic Zone Ltd. | PORT | 4224746460 | 60483.79 | 0.78 | 1.39 | 0.51 | 2.17 | 10.27 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug23.csv,72,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Free Float Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 74464.59 | 0.87 | 2.25 | 0.11 | 2.32 | -2.93 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 74464.59 | 0.87 | 2.25 | 0.11 | 2.32 | -2.93 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug24.csv,70,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Index Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 79167.43485 | 0.70739287 | 2.071894 | 0.44702821 | 1.59802022 | -4.73433457 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1140001121 | 79167.43485 | 0.70739287 | 2.071894 | 0.44702821 | 1.59802022 | -4.73433457 | 0.02,* Impact Cost for Nifty 50 is the weightage average impact cost |  |  |  |  |  |  |  |  |  |  | 
nifty50_aug25.csv,68,2,3,False,12,Sr. No | Security Symbol | Security Name | Industry | Equity Capital (In Rs.) | Index Market Capitalisation (Rs. Crores) | Weightage (%) | Beta | R2 | Volatility (%) | Monthly Return | Avg. Impact Cost (%),1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1154180729 | 58307.0127 | 0.52816746 | 1.62168875 | 0.2700246 | 1.92590312 | -7.65211667 | 0.02,1 | ADANIENT | Adani Enterprises Ltd. | TRADING - MINERALS/ MINING | 1154180729 | 58307.0127 | 0.52816746 | 1.62168875 | 0.2700246 | 1.92590312 | -7.65211667 | 0.02,*Last day of trading was 29-Aug-2025 |  |  |  |  |  |  |  |  |  |  | 
