rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,42554.25,0.91,1.45,0.34,0.82,8.89,0.02,2019-03-01,nifty50_mar19.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,31045.91,0.66,1.54,0.2,2.34,17.78,0.02,2019-03-01,nifty50_mar19.csv
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,43940.62,0.94,1.17,0.18,2.76,4.73,0.03,2019-03-01,nifty50_mar19.csv
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,26664.69,0.57,0.19,0.01,1.83,6.73,0.03,2019-03-01,nifty50_mar19.csv
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294.0,36333.6,0.78,0.88,0.23,1.03,0.94,0.02,2019-03-01,nifty50_mar19.csv
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611398096.0,26846.46,0.57,0.76,0.14,0.5,-4.63,0.02,2019-03-01,nifty50_mar19.csv
12,COALINDIA,Coal India Ltd.,MINING,62074091770.0,39754.73,0.85,0.51,0.06,1.84,3.9,0.03,2019-03-01,nifty50_mar19.csv
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830304305.0,33703.42,0.72,0.51,0.04,1.15,5.65,0.02,2019-03-01,nifty50_mar19.csv
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700.0,28590.3,0.61,1.44,0.27,2.48,3.42,0.02,2019-03-01,nifty50_mar19.csv
15,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,31359.02,0.67,0.85,0.12,1.27,1.65,0.02,2019-03-01,nifty50_mar19.csv
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315196726.0,33851.19,0.72,1.21,0.27,1.4,10.41,0.02,2019-03-01,nifty50_mar19.csv
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712526216.0,58994.73,1.26,0.56,0.06,1.6,3.18,0.02,2019-03-01,nifty50_mar19.csv
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5446613220.0,498890.98,10.67,0.66,0.27,0.85,11.62,0.02,2019-03-01,nifty50_mar19.csv
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768.0,33145.63,0.71,0.93,0.17,1.65,-2.85,0.02,2019-03-01,nifty50_mar19.csv
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245530245.0,29994.67,0.64,1.43,0.23,1.55,4.98,0.02,2019-03-01,nifty50_mar19.csv
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164671952.0,121923.85,2.61,0.74,0.18,0.84,-1.49,0.01,2019-03-01,nifty50_mar19.csv
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3437401980.0,324751.99,6.94,1.2,0.42,0.91,6.9,0.01,2019-03-01,nifty50_mar19.csv
23,ITC,I T C Ltd.,CIGARETTES,12253905922.0,254973.15,5.45,0.88,0.28,1.02,7.68,0.02,2019-03-01,nifty50_mar19.csv
24,ICICIBANK,ICICI Bank Ltd.,BANKS,12889191588.0,258106.06,5.52,1.3,0.29,1.46,14.38,0.02,2019-03-01,nifty50_mar19.csv
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,854806678.0,28611.88,0.61,2.29,0.27,3.48,30.98,0.03,2019-03-01,nifty50_mar19.csv
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,94141589220.0,38327.39,0.82,1.35,0.18,2.4,12.62,0.03,2019-03-01,nifty50_mar19.csv
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6026855580.0,91186.32,1.95,1.0,0.23,1.96,20.77,0.02,2019-03-01,nifty50_mar19.csv
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21844657220.0,282735.18,6.04,0.61,0.1,1.1,1.3,0.02,2019-03-01,nifty50_mar19.csv
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,29751.39,0.64,1.25,0.25,1.62,4.25,0.02,2019-03-01,nifty50_mar19.csv
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9540170005.0,178239.0,3.81,0.99,0.24,1.36,10.01,0.02,2019-03-01,nifty50_mar19.csv
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2805249138.0,170988.91,3.66,0.97,0.31,1.3,7.14,0.02,2019-03-01,nifty50_mar19.csv
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,62834.06,1.34,1.27,0.33,1.25,4.34,0.02,2019-03-01,nifty50_mar19.csv
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,88688.35,1.9,1.13,0.3,1.38,-2.3,0.02,2019-03-01,nifty50_mar19.csv
34,NTPC,NTPC Ltd.,POWER,98945572800.0,54644.67,1.17,0.64,0.12,2.42,14.44,0.03,2019-03-01,nifty50_mar19.csv
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030.0,48232.79,1.03,1.01,0.18,2.04,7.47,0.03,2019-03-01,nifty50_mar19.csv
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,45554.59,0.97,0.6,0.12,1.63,8.23,0.03,2019-03-01,nifty50_mar19.csv
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63386926930.0,466626.03,9.98,1.44,0.43,1.56,10.74,0.01,2019-03-01,nifty50_mar19.csv
38,SBIN,State Bank of India,BANKS,8924611534.0,120227.9,2.57,1.37,0.33,1.37,19.22,0.02,2019-03-01,nifty50_mar19.csv
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,52850.39,1.13,0.85,0.09,1.46,7.57,0.02,2019-03-01,nifty50_mar19.csv
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,210306.9,4.5,0.44,0.05,0.89,0.92,0.02,2019-03-01,nifty50_mar19.csv
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,31696.59,0.68,1.45,0.2,2.51,-1.8,0.03,2019-03-01,nifty50_mar19.csv
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266144590.0,39326.73,0.84,1.3,0.27,1.67,4.11,0.02,2019-03-01,nifty50_mar19.csv
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4916812350.0,48831.42,1.04,0.7,0.09,1.19,-6.53,0.02,2019-03-01,nifty50_mar19.csv
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,47644.78,1.02,0.89,0.17,0.89,11.38,0.02,2019-03-01,nifty50_mar19.csv
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,35163.59,0.75,1.28,0.22,1.37,9.26,0.02,2019-03-01,nifty50_mar19.csv
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746405120.0,41728.14,0.89,1.15,0.29,1.38,4.49,0.02,2019-03-01,nifty50_mar19.csv
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,33596.21,0.72,1.35,0.17,2.03,8.88,0.03,2019-03-01,nifty50_mar19.csv
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,12067753442.0,38435.79,0.82,0.49,0.07,1.78,-7.91,0.02,2019-03-01,nifty50_mar19.csv
49,YESBANK,Yes Bank Ltd.,BANKS,4627651922.0,50922.68,1.09,1.05,0.04,1.99,19.01,0.03,2019-03-01,nifty50_mar19.csv
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960466500.0,24817.49,0.53,0.79,0.05,2.53,-4.54,0.03,2019-03-01,nifty50_mar19.csv
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,30911.85,0.65,1.37,0.25,1.05,3.87,0.02,2019-04-01,nifty50_apr19.csv
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,65962.16,1.39,0.99,0.29,1.48,-1.98,0.02,2019-04-01,nifty50_apr19.csv
3,AXISBANK,Axis Bank Ltd.,BANKS,5142458262.0,149852.78,3.16,1.16,0.29,1.11,-1.34,0.02,2019-04-01,nifty50_apr19.csv
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,40584.51,0.86,0.85,0.17,1.17,2.51,0.02,2019-04-01,nifty50_apr19.csv
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,73363.81,1.55,1.44,0.26,1.28,2.35,0.02,2019-04-01,nifty50_apr19.csv
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,45477.46,0.96,1.39,0.33,1.18,6.87,0.02,2019-04-01,nifty50_apr19.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,29663.66,0.63,1.61,0.22,2.65,-4.45,0.02,2019-04-01,nifty50_apr19.csv
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25654955910.0,54234.06,1.15,1.2,0.18,1.85,4.73,0.03,2019-04-01,nifty50_apr19.csv
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,22338.27,0.47,0.29,0.01,2.68,-16.23,0.03,2019-04-01,nifty50_apr19.csv
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294.0,34102.72,0.72,0.83,0.21,0.98,-6.14,0.02,2019-04-01,nifty50_apr19.csv
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611398096.0,28678.86,0.61,0.77,0.15,1.24,6.83,0.02,2019-04-01,nifty50_apr19.csv
12,COALINDIA,Coal India Ltd.,MINING,62074091770.0,42260.35,0.89,0.5,0.06,1.16,6.3,0.03,2019-04-01,nifty50_apr19.csv
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830304305.0,35564.22,0.75,0.48,0.04,0.99,5.52,0.02,2019-04-01,nifty50_apr19.csv
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700.0,28340.68,0.6,1.47,0.28,1.48,-0.87,0.02,2019-04-01,nifty50_apr19.csv
15,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,32107.7,0.68,0.92,0.14,1.88,2.39,0.03,2019-04-01,nifty50_apr19.csv
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315196726.0,35557.66,0.75,1.13,0.23,1.64,5.04,0.02,2019-04-01,nifty50_apr19.csv
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2712526216.0,64197.36,1.36,0.59,0.07,1.55,8.82,0.02,2019-04-01,nifty50_apr19.csv
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5446613220.0,498579.03,10.53,0.68,0.28,1.0,-0.06,0.02,2019-04-01,nifty50_apr19.csv
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399453768.0,32609.46,0.69,0.92,0.17,1.51,-1.62,0.01,2019-04-01,nifty50_apr19.csv
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245530245.0,30074.95,0.64,1.39,0.25,1.87,0.27,0.02,2019-04-01,nifty50_apr19.csv
