rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2804440578.0,162178.56,3.74,1.06,0.38,1.1,-8.57,0.02,2019-01-01,nifty50_jan19.csv
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,63407.48,1.46,1.2,0.32,1.56,-15.4,0.02,2019-01-01,nifty50_jan19.csv
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,88271.0,2.04,1.13,0.33,1.86,-11.04,0.02,2019-01-01,nifty50_jan19.csv
34,NTPC,NTPC Ltd.,POWER,82454644000.0,47227.55,1.09,0.63,0.18,1.01,-6.27,0.03,2019-01-01,nifty50_jan19.csv
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,43504.67,1.0,0.99,0.2,1.22,-5.77,0.03,2019-01-01,nifty50_jan19.csv
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,43413.82,1.0,0.57,0.13,1.01,-5.06,0.03,2019-01-01,nifty50_jan19.csv
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63385607220.0,420031.7,9.69,1.38,0.44,1.7,9.44,0.02,2019-01-01,nifty50_jan19.csv
38,SBIN,State Bank of India,BANKS,8924587534.0,110069.62,2.54,1.38,0.33,1.37,-0.76,0.02,2019-01-01,nifty50_jan19.csv
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399328274.0,46735.8,1.08,0.83,0.08,2.86,-1.64,0.02,2019-01-01,nifty50_jan19.csv
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,211614.99,4.88,0.42,0.05,1.26,6.39,0.02,2019-01-01,nifty50_jan19.csv
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,32960.82,0.76,1.32,0.23,1.81,4.92,0.03,2019-01-01,nifty50_jan19.csv
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266107550.0,35982.71,0.83,1.34,0.29,1.95,-8.51,0.02,2019-01-01,nifty50_jan19.csv
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4905969755.0,45960.69,1.06,0.65,0.08,1.51,1.21,0.02,2019-01-01,nifty50_jan19.csv
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,41550.7,0.96,0.85,0.16,1.11,6.96,0.02,2019-01-01,nifty50_jan19.csv
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,28843.06,0.67,1.37,0.27,1.16,3.73,0.03,2019-01-01,nifty50_jan19.csv
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746357620.0,36728.5,0.85,1.17,0.33,2.03,-11.82,0.03,2019-01-01,nifty50_jan19.csv
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,36679.44,0.85,1.36,0.24,1.75,-2.4,0.02,2019-01-01,nifty50_jan19.csv
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9048230346.0,41757.58,0.96,0.46,0.07,1.96,11.59,0.02,2019-01-01,nifty50_jan19.csv
49,YESBANK,Yes Bank Ltd.,BANKS,4623905770.0,35900.0,0.83,1.23,0.08,3.32,6.77,0.03,2019-01-01,nifty50_jan19.csv
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960466500.0,21179.82,0.49,0.75,0.06,6.74,-20.2,0.03,2019-01-01,nifty50_jan19.csv
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,25643.15,0.59,1.4,0.25,2.58,-3.78,0.03,2019-02-01,nifty50_feb19.csv
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,63349.64,1.47,0.98,0.29,1.15,-0.52,0.02,2019-02-01,nifty50_feb19.csv
3,AXISBANK,Axis Bank Ltd.,BANKS,5139752272.0,125818.44,2.91,1.21,0.26,0.9,-1.82,0.02,2019-02-01,nifty50_feb19.csv
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,39448.88,0.91,0.95,0.22,1.18,13.55,0.02,2019-02-01,nifty50_feb19.csv
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,62772.57,1.45,1.45,0.28,1.45,2.88,0.02,2019-02-01,nifty50_feb19.csv
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,39079.55,0.91,1.43,0.34,1.45,6.08,0.03,2019-02-01,nifty50_feb19.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,27092.56,0.63,1.41,0.17,1.99,-2.29,0.03,2019-02-01,nifty50_feb19.csv
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,41955.31,0.97,1.17,0.19,1.18,3.8,0.04,2019-02-01,nifty50_feb19.csv
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,24984.32,0.58,0.17,0.01,2.66,0.48,0.03,2019-02-01,nifty50_feb19.csv
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1610837252.0,28138.63,0.65,0.82,0.16,1.38,7.2,0.02,2019-02-01,nifty50_feb19.csv
11,COALINDIA,Coal India Ltd.,MINING,62074091770.0,38263.09,0.89,0.47,0.06,1.61,1.62,0.03,2019-02-01,nifty50_feb19.csv
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830229285.0,31899.14,0.74,0.58,0.06,2.1,-3.28,0.03,2019-02-01,nifty50_feb19.csv
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272747500.0,27638.16,0.64,1.36,0.27,2.28,4.54,0.02,2019-02-01,nifty50_feb19.csv
14,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,30849.37,0.71,0.79,0.11,1.71,2.97,0.02,2019-02-01,nifty50_feb19.csv
15,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315182576.0,30658.88,0.71,1.16,0.26,1.94,7.77,0.02,2019-02-01,nifty50_feb19.csv
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2785249808.0,58707.5,1.36,0.52,0.06,1.33,4.84,0.02,2019-02-01,nifty50_feb19.csv
17,HDFCBANK,HDFC Bank Ltd.,BANKS,5436985890.0,446176.6,10.33,0.68,0.29,0.79,-0.12,0.02,2019-02-01,nifty50_feb19.csv
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399438678.0,34117.36,0.79,0.94,0.19,2.28,0.54,0.02,2019-02-01,nifty50_feb19.csv
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245512385.0,28571.34,0.66,1.5,0.25,1.87,-6.12,0.03,2019-02-01,nifty50_feb19.csv
20,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,16676.94,0.39,1.43,0.13,2.1,-4.35,0.03,2019-02-01,nifty50_feb19.csv
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164648943.0,123769.11,2.87,0.77,0.21,0.93,-1.74,0.02,2019-02-01,nifty50_feb19.csv
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3433096404.0,303408.82,7.03,1.21,0.44,1.15,-4.22,0.02,2019-02-01,nifty50_feb19.csv
23,ITC,I T C Ltd.,CIGARETTES,12245059882.0,236617.41,5.48,0.91,0.31,0.89,-0.93,0.03,2019-02-01,nifty50_feb19.csv
24,ICICIBANK,ICICI Bank Ltd.,BANKS,12880206278.0,225500.21,5.22,1.26,0.27,1.3,-3.92,0.03,2019-02-01,nifty50_feb19.csv
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853391352.0,21808.2,0.51,2.12,0.26,3.15,-1.42,0.04,2019-02-01,nifty50_feb19.csv
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,97118099280.0,35108.19,0.81,1.35,0.19,2.26,5.66,0.04,2019-02-01,nifty50_feb19.csv
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6020550370.0,75423.8,1.75,0.91,0.22,1.1,-2.11,0.02,2019-02-01,nifty50_feb19.csv
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21843026090.0,279084.41,6.46,0.65,0.12,1.26,-2.03,0.02,2019-02-01,nifty50_feb19.csv
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440.0,28538.19,0.66,1.31,0.28,2.27,2.37,0.03,2019-02-01,nifty50_feb19.csv
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9535928430.0,161952.49,3.75,0.96,0.24,1.08,-3.4,0.02,2019-02-01,nifty50_feb19.csv
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2804440578.0,159544.06,3.69,1.01,0.35,1.2,-1.62,0.03,2019-02-01,nifty50_feb19.csv
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,60223.35,1.39,1.22,0.32,1.66,-5.02,0.02,2019-02-01,nifty50_feb19.csv
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,90777.11,2.1,1.1,0.3,1.6,2.84,0.02,2019-02-01,nifty50_feb19.csv
34,NTPC,NTPC Ltd.,POWER,82454644000.0,47751.55,1.11,0.65,0.16,1.79,1.11,0.04,2019-02-01,nifty50_feb19.csv
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,45783.85,1.06,1.03,0.2,2.03,5.24,0.03,2019-02-01,nifty50_feb19.csv
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,42090.23,0.97,0.58,0.13,1.43,-3.05,0.03,2019-02-01,nifty50_feb19.csv
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63385607220.0,421366.6,9.76,1.41,0.43,1.41,0.32,0.02,2019-02-01,nifty50_feb19.csv
38,SBIN,State Bank of India,BANKS,8924587534.0,100848.73,2.34,1.37,0.33,1.33,-8.38,0.02,2019-02-01,nifty50_feb19.csv
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399328274.0,49130.81,1.14,0.83,0.08,1.87,5.12,0.02,2019-02-01,nifty50_feb19.csv
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,208394.69,4.83,0.45,0.05,1.71,-1.52,0.02,2019-02-01,nifty50_feb19.csv
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,32278.68,0.75,1.41,0.2,4.38,-2.07,0.03,2019-02-01,nifty50_feb19.csv
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266107550.0,37775.43,0.87,1.35,0.29,2.07,4.98,0.02,2019-02-01,nifty50_feb19.csv
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4905969755.0,52130.44,1.21,0.71,0.09,1.94,13.42,0.02,2019-02-01,nifty50_feb19.csv
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,42777.44,0.99,0.83,0.15,1.41,2.95,0.02,2019-02-01,nifty50_feb19.csv
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,32183.94,0.75,1.28,0.23,1.21,11.58,0.02,2019-02-01,nifty50_feb19.csv
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746357620.0,39933.96,0.92,1.16,0.3,1.57,8.73,0.03,2019-02-01,nifty50_feb19.csv
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,31484.66,0.73,1.36,0.18,4.62,-14.16,0.03,2019-02-01,nifty50_feb19.csv
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9048230346.0,41723.65,0.97,0.5,0.07,1.39,-0.08,0.02,2019-02-01,nifty50_feb19.csv
49,YESBANK,Yes Bank Ltd.,BANKS,4623905770.0,42752.63,0.99,1.09,0.05,7.02,19.09,0.04,2019-02-01,nifty50_feb19.csv
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960466500.0,25998.48,0.6,0.69,0.04,3.28,22.75,0.04,2019-02-01,nifty50_feb19.csv
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,29758.96,0.64,1.39,0.25,1.47,16.05,0.03,2019-03-01,nifty50_mar19.csv
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,67294.34,1.44,0.99,0.3,1.01,6.23,0.01,2019-03-01,nifty50_mar19.csv
3,AXISBANK,Axis Bank Ltd.,BANKS,5142458262.0,151885.08,3.25,1.2,0.25,1.49,9.54,0.02,2019-03-01,nifty50_mar19.csv
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,39591.69,0.85,0.87,0.18,0.87,0.36,0.02,2019-03-01,nifty50_mar19.csv
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,71682.53,1.53,1.44,0.26,1.44,14.19,0.02,2019-03-01,nifty50_mar19.csv
